time,open,high,low,close,CCI,daily_bias,daily_cci,daily_prev_cci
1317330000,1163.4,1165.7,1127.2,1127.9,-107.29776526665167,0,-107.29776526665167,-34.161084989522394
1317589200,1127.9,1139,1090.5,1091.8,-197.88130246158653,0,-197.88130246158653,-107.29776526665167
1317675600,1091.8,1125.1,1073.1,1118.3,-174.09687926572147,0,-174.09687926572147,-197.88130246158653
1317762000,1118.3,1146.7,1112,1140.9,-94.76706908363906,1,-94.76706908363906,-174.09687926572147
1317848400,1140.9,1165.9,1134.3,1162.9,-33.79741289294768,0,-33.79741289294768,-94.76706908363906
1317934800,1162.9,1179.2,1150,1161.1,-14.314875562828732,0,-14.314875562828732,-33.79741289294768
1318194000,1161.1,1197.5,1161.1,1195.2,55.98097563528983,0,55.98097563528983,-14.314875562828732
1318280400,1195.2,1200,1185.9,1190.9,69.50805605468037,0,69.50805605468037,55.98097563528983
1318366800,1190.9,1221.2,1185.8,1203.9,96.63480570033806,0,96.63480570033806,69.50805605468037
1318453200,1203.9,1209.3,1190.3,1203.3,85.60400853710807,0,85.60400853710807,96.63480570033806
1318539600,1203.3,1226.5,1198,1224.8,125.51260462920392,0,125.51260462920392,85.60400853710807
1318798800,1224.8,1235.6,1195.4,1196.7,86.34647481081893,-1,86.34647481081893,125.51260462920392
1318885200,1196.7,1234.5,1190.1,1221.7,108.94251093758452,0,108.94251093758452,86.34647481081893
1318971600,1221.7,1232,1206.1,1212.1,99.22848823435072,-1,99.22848823435072,108.94251093758452
1319058000,1212.1,1220.8,1197,1214.5,84.51877780481696,0,84.51877780481696,99.22848823435072
1319144400,1214.5,1240.3,1213.5,1239.5,132.7319952774507,0,132.7319952774507,84.51877780481696
1319403600,1239.5,1256.9,1231.1,1251.3,159.5321997599423,0,159.5321997599423,132.7319952774507
1319490000,1251.3,1258.8,1226.4,1228.9,128.29057375166647,0,128.29057375166647,159.5321997599423
1319576400,1228.9,1247.7,1220.6,1246.4,133.18959064615063,0,133.18959064615063,128.29057375166647
1319662800,1246.4,1293.5,1241.9,1286.5,196.0144987727339,0,196.0144987727339,133.18959064615063
1319749200,1286.5,1288.5,1276.9,1286.4,195.42755179408735,0,195.42755179408735,196.0144987727339
1320008400,1286.4,1286.4,1245.7,1246.7,130.32611398171795,0,130.32611398171795,195.42755179408735
1320094800,1246.7,1251.8,1212.1,1227.6,74.1415654713958,-1,74.1415654713958,130.32611398171795
1320181200,1227.6,1242.3,1220.1,1238.6,79.40307979877728,0,79.40307979877728,74.1415654713958
1320267600,1238.6,1263.3,1217,1258.8,100.71292831234737,0,100.71292831234737,79.40307979877728
1320354000,1258.8,1262.2,1237.9,1254.2,100.52545655411835,0,100.52545655411835,100.71292831234737
1320616800,1254.2,1262.8,1235.2,1262.5,102.08024578510899,0,102.08024578510899,100.52545655411835
1320703200,1262.5,1278.4,1251.7,1276.7,122.2362818767305,0,122.2362818767305,102.08024578510899
1320789600,1276.7,1277.2,1225.7,1229.7,65.99147773090391,-1,65.99147773090391,122.2362818767305
1320876000,1229.7,1248,1221.2,1241.9,60.227186982818665,0,60.227186982818665,65.99147773090391
1320962400,1241.9,1267.7,1236.6,1264.6,89.40938272891493,0,89.40938272891493,60.227186982818665
1321221600,1264.6,1273.5,1246.1,1255.1,83.36080564330366,0,83.36080564330366,89.40938272891493
1321308000,1255.1,1264.8,1236.5,1257.3,74.22500530237812,0,74.22500530237812,83.36080564330366
1321394400,1257.3,1261.3,1230.7,1232.7,48.33946258242663,0,48.33946258242663,74.22500530237812
1321480800,1232.7,1244.1,1208.8,1218,17.035039359186282,0,17.035039359186282,48.33946258242663
1321567200,1218,1232,1211,1215.7,8.143752060666518,0,8.143752060666518,17.035039359186282
1321826400,1215.7,1215.7,1182.4,1189.9,-37.541976085124354,0,-37.541976085124354,8.143752060666518
1321912800,1189.9,1200.9,1181.1,1184.6,-52.52042903805419,0,-52.52042903805419,-37.541976085124354
1321999200,1184.6,1186.8,1160.2,1161.5,-92.19205473739957,0,-92.19205473739957,-52.52042903805419
1322085600,1161.5,1175.5,1157.7,1160.9,-103.11379604446604,0,-103.11379604446604,-92.19205473739957
1322172000,1160.9,1172.9,1149.1,1155.1,-123.00482834750565,0,-123.00482834750565,-103.11379604446604
1322431200,1155.1,1197.7,1155.1,1192.4,-77.5864963264939,1,-77.5864963264939,-123.00482834750565
1322517600,1192.4,1207.4,1187.6,1191.8,-61.49351545253762,0,-61.49351545253762,-77.5864963264939
1322604000,1191.8,1248,1184.3,1245.5,19.44043820928664,0,19.44043820928664,-61.49351545253762
1322690400,1245.5,1252.2,1237,1244.5,50.20087041734775,0,50.20087041734775,19.44043820928664
1322776800,1244.5,1263.9,1243.1,1245.1,59.58639215422215,0,59.58639215422215,50.20087041734775
1323036000,1245.1,1267.2,1245.1,1253.4,71.01209192394634,0,71.01209192394634,59.58639215422215
1323122400,1253.4,1266.6,1246.1,1257.5,73.72763231746106,0,73.72763231746106,71.01209192394634
1323208800,1257.5,1268.8,1244.7,1264,79.84716726872747,0,79.84716726872747,73.72763231746106
1323295200,1264,1272.7,1231.4,1233.1,29.825074623632577,0,29.825074623632577,79.84716726872747
1323381600,1233.1,1261.1,1229.1,1260.3,55.3925634949014,0,55.3925634949014,29.825074623632577
1323640800,1260.3,1260.9,1226.3,1235,16.575971269722512,0,16.575971269722512,55.3925634949014
1323727200,1235,1250,1218.7,1227,-9.3008700545335,0,-9.3008700545335,16.575971269722512
1323813600,1227,1232.7,1209.1,1213.1,-49.88652192969022,0,-49.88652192969022,-9.3008700545335
1323900000,1213.1,1227.1,1204.6,1217.8,-48.030515841501696,0,-48.030515841501696,-49.88652192969022
1323986400,1217.8,1231.8,1214.9,1216.7,-36.59385801611049,0,-36.59385801611049,-48.030515841501696
1324245600,1216.7,1226.3,1201.9,1205.9,-61.59603656660879,0,-61.59603656660879,-36.59385801611049
1324332000,1205.9,1244.3,1205.7,1243.3,5.82489310262976,0,5.82489310262976,-61.59603656660879
1324418400,1243.3,1255.6,1229.4,1241.7,31.454393072847154,0,31.454393072847154,5.82489310262976
1324504800,1241.7,1258.2,1238.7,1257.5,66.85689386575626,0,66.85689386575626,31.454393072847154
1324591200,1257.5,1267.2,1256.1,1265.9,97.62508673249981,0,97.62508673249981,66.85689386575626
1324936800,1265.9,1270.2,1262.1,1265.9,98.65948043427224,0,98.65948043427224,97.62508673249981
1325023200,1265.9,1270.6,1249,1251,65.68306283189949,0,65.68306283189949,98.65948043427224
1325109600,1251,1264.5,1250.2,1262.5,76.96362735776003,0,76.96362735776003,65.68306283189949
1325196000,1262.5,1266.4,1256.6,1258.9,76.64319536789492,0,76.64319536789492,76.96362735776003
1325541600,1258.9,1285.7,1258.9,1278.9,115.92334476080175,0,115.92334476080175,76.64319536789492
1325628000,1278.9,1280.3,1268.3,1278.6,117.32021038379406,0,117.32021038379406,115.92334476080175
1325714400,1278.6,1283.5,1265.2,1278.5,111.55917432800271,0,111.55917432800271,117.32021038379406
1325800800,1278.5,1287.5,1272.2,1279.4,113.31936812669628,0,113.31936812669628,111.55917432800271
1326060000,1279.4,1283,1272.5,1279.9,108.1714680858948,0,108.1714680858948,113.31936812669628
1326146400,1279.9,1297.2,1279.9,1290.1,129.16541199426698,0,129.16541199426698,108.1714680858948
1326232800,1290.1,1294.6,1284.3,1293.3,128.13621708192554,0,128.13621708192554,129.16541199426698
1326319200,1293.3,1302.6,1285.7,1296.5,128.70874953651202,0,128.70874953651202,128.13621708192554
1326405600,1296.5,1300,1277.6,1294.4,113.89408792920545,0,113.89408792920545,128.70874953651202
1326664800,1294.4,1297,1286,1296.5,113.48693477667364,0,113.48693477667364,113.89408792920545
1326751200,1296.5,1307.2,1290.6,1295.1,115.36400212972694,0,115.36400212972694,113.48693477667364
1326837600,1295.1,1308.8,1291,1307.3,125.5707635082098,0,125.5707635082098,115.36400212972694
1326924000,1307.3,1316,1303.8,1314.8,142.53056273072417,0,142.53056273072417,125.5707635082098
1327010400,1314.8,1316.2,1309.2,1315.7,143.85100490900763,0,143.85100490900763,142.53056273072417
1327269600,1315.7,1322.5,1309.2,1314.2,141.99800116282174,0,141.99800116282174,143.85100490900763
1327356000,1314.2,1320.6,1305.6,1318.9,137.39341781753123,0,137.39341781753123,141.99800116282174
1327442400,1318.9,1328.8,1307,1324.8,143.01210568035938,0,143.01210568035938,137.39341781753123
1327528800,1324.8,1333.8,1313.2,1320.2,134.61405395413553,0,134.61405395413553,143.01210568035938
1327615200,1320.2,1323.2,1310.9,1316.6,114.31648637090882,0,114.31648637090882,134.61405395413553
1327874400,1316.6,1318.2,1299.6,1312.9,94.20721111555922,-1,94.20721111555922,114.31648637090882
1327960800,1312.9,1321.1,1305.8,1309.8,90.91785731126568,0,90.91785731126568,94.20721111555922
1328047200,1309.8,1330.5,1307.3,1324,108.17236255572159,0,108.17236255572159,90.91785731126568
1328133600,1324,1329.5,1320.5,1326.4,111.34866976907608,0,111.34866976907608,108.17236255572159
1328220000,1326.4,1345.4,1323.4,1342.9,132.82626499073342,0,132.82626499073342,111.34866976907608
1328479200,1342.9,1343.7,1333.4,1343.4,129.37718774700474,0,129.37718774700474,132.82626499073342
1328565600,1343.4,1348.8,1334.8,1347.3,129.93137549142983,0,129.93137549142983,129.37718774700474
1328652000,1347.3,1351.3,1341.3,1349,130.7317073170738,0,130.7317073170738,129.93137549142983
1328738400,1349,1355.7,1343.7,1350.4,131.68547152329256,0,131.68547152329256,130.7317073170738
1328824800,1350.4,1350.7,1336.6,1343.1,112.92751262714621,0,112.92751262714621,131.68547152329256
1329084000,1343.1,1354.9,1343.1,1351.6,123.62559056205956,0,123.62559056205956,112.92751262714621
1329170400,1351.6,1354.6,1340.3,1350,115.75240441424079,0,115.75240441424079,123.62559056205956
